Date,Open,High,Low,Close,Volume
27-May-14,77,77.43,76.4,77.15,103160653
23-May-14,75.18,76.07,74.7,75.96,78956911
22-May-14,74.71,74.96,74.09,74.81,52257024
21-May-14,74.84,74.86,73.9,74.34,70314805
20-May-14,74.41,75.35,74.03,74.67,66268573
19-May-14,73.4,74.17,72.3,73.99,73301414
16-May-14,73.97,74.05,72.83,73.47,122472948
15-May-14,77.24,77.84,73.31,73.76,154696541
14-May-14,77,77.46,76.4,77.1,51561123
13-May-14,77.38,77.59,76.12,76.89,62875143
12-May-14,76.62,77.3,76.08,77,40504614
9-May-14,77.05,77.46,76,76,71481392
8-May-14,76.76,77.5,76.37,76.94,70247765
7-May-14,78.11,78.23,76.37,76.72,125197679
6-May-14,79.83,79.9,78.41,78.5,75687715
2-May-14,80.01,80.4,79.2,79.63,124723456
1-May-14,77.21,79.6,77.03,79.5,150758741
30-Apr-14,74.65,75.77,74.38,75.36,88757893
29-Apr-14,74.55,75.16,74.04,74.87,70928937
28-Apr-14,75.1,75.68,73.68,73.98,59499331
25-Apr-14,74.97,75.5,74.25,74.84,63611677
24-Apr-14,75.16,75.92,74.62,75.49,78807825
23-Apr-14,74.79,75.04,74.1,74.8,61701579
22-Apr-14,74.59,74.77,74.02,74.38,51843906
17-Apr-14,73.02,74.87,72.44,74.28,139971474
16-Apr-14,71.78,72.88,70.62,72.86,135921276
15-Apr-14,72.54,72.99,70.59,70.95,109036999
14-Apr-14,72.43,72.75,70.02,72.59,162262949
11-Apr-14,73.61,73.88,72.1,72.97,142488473
10-Apr-14,74.97,75.71,73.55,74.55,93856187
9-Apr-14,74,74.99,73.55,74.5,105243980
8-Apr-14,75.26,75.7,72.34,73.9,217586451
7-Apr-14,76.7,77.17,75.15,75.38,92154668
4-Apr-14,76.75,77.78,75.92,77.46,102823189
3-Apr-14,76.9,77.44,75.97,76.18,101230122
2-Apr-14,76.13,76.9,76.1,76.9,400767028
1-Apr-14,75.25,76.2,74.65,76.2,148192706
31-Mar-14,74.87,75.15,74.4,74.65,115228092
28-Mar-14,75.78,76.07,73,74.34,222543800
27-Mar-14,75,75.8,74.22,75.38,153854288
26-Mar-14,74.5,76.17,74.5,75.21,472346815
25-Mar-14,78.55,79.13,78.25,79.11,63457693
24-Mar-14,78.4,78.75,78,78.5,79202717
21-Mar-14,78.75,78.88,76.3,77.37,161750109
20-Mar-14,78.25,79.35,77.83,78.75,73615076
19-Mar-14,79.66,80.03,78.95,79.06,82770246
18-Mar-14,79.45,80.35,79.13,79.71,77925062
17-Mar-14,78.53,79.94,78.45,79.5,62350993
14-Mar-14,79.09,79.51,77.49,78.38,102921113
13-Mar-14,81,81,79.41,79.55,109557851
12-Mar-14,80.91,81.46,79.92,80.62,88939473
11-Mar-14,81.48,81.98,80.7,81.1,84823225
10-Mar-14,81.24,82.76,81,81.49,87920875
7-Mar-14,81.81,82.25,81.27,81.35,83606546
6-Mar-14,81.13,82.48,80.87,81.7,92115385
5-Mar-14,80.87,81.43,80.32,80.73,75048168
4-Mar-14,82.09,82.49,80.72,80.9,103240248
3-Mar-14,80.77,81.61,79.92,81.26,106173223
28-Feb-14,81.87,82.85,81.11,82.6,101726044
27-Feb-14,80.98,81.89,79.71,81.66,94062154
26-Feb-14,81.39,81.52,80.22,80.87,87187326
25-Feb-14,81.65,81.75,80.56,81.23,137225751
24-Feb-14,80.64,81.6,80.32,81.6,98607735
21-Feb-14,81.92,81.95,80.67,80.79,76141428
20-Feb-14,80.5,81.13,80.17,81.13,79368849
19-Feb-14,82.12,82.68,81.02,81.21,68366571
18-Feb-14,82.05,82.79,81.03,82.5,83200980
17-Feb-14,80.82,81.98,79.97,81.76,66992483
14-Feb-14,82.58,82.58,79.71,80.45,156764969
13-Feb-14,80.99,82.94,79.32,81.26,179386070
12-Feb-14,83.87,84.09,82.95,83.53,108408548
11-Feb-14,83.48,83.64,81.98,83.38,104380877
10-Feb-14,82,82.87,81.84,82.87,101890592
7-Feb-14,83.06,83.22,81.45,81.8,92410529
6-Feb-14,82.48,83.02,81.51,82.66,105217988
5-Feb-14,81,82.43,80.84,81.48,65342515
4-Feb-14,79.27,81.28,78.26,81.05,138654454
3-Feb-14,81.25,81.93,79.66,79.99,149188697
31-Jan-14,83.19,83.47,81.38,83.3,85321454
30-Jan-14,81.79,83.8,80.96,83.55,72209981
29-Jan-14,83.41,83.93,81.23,82.1,107931987
28-Jan-14,80.75,83.11,80.25,82.85,88295760
27-Jan-14,81.36,81.74,80.09,80.4,122489851
24-Jan-14,82.69,83.05,81.01,81.37,107507300
23-Jan-14,82.99,84.02,82.85,83.03,82285303
22-Jan-14,84.07,84.15,82.88,83.03,59602374
21-Jan-14,83.35,84.26,83.18,83.57,71244915
20-Jan-14,83.37,84,82.86,83.18,54277958
17-Jan-14,84.05,84.45,82.69,83.52,122480352
16-Jan-14,86.59,86.75,84.02,84.71,106725735
15-Jan-14,85.5,86.77,85.5,86.43,88180412
14-Jan-14,83.49,85.49,83.09,85.33,73011453
13-Jan-14,83.29,84.73,83.29,83.76,92668914
10-Jan-14,85.53,85.84,82.9,84.66,112585673
9-Jan-14,83.6,85.52,83.18,85.26,109279629
8-Jan-14,82.94,84.17,82.69,83.8,127029504
7-Jan-14,80.5,82.98,80.16,82.51,137427906
6-Jan-14,79.84,80.37,79,80.11,69585725
3-Jan-14,79.14,80,78.77,79.93,43655312
2-Jan-14,79.35,79.66,78.46,79.35,60303343
31-Dec-13,78.82,79.05,78.4,78.88,17095295
30-Dec-13,79,79.45,77.97,78.42,39203983
27-Dec-13,78.01,79.15,77.97,78.84,38999074
24-Dec-13,78.63,78.7,77.85,78.2,10861315
23-Dec-13,77.65,78.4,77.5,78.4,46437292
20-Dec-13,77.42,77.94,76.93,77.31,119015890
19-Dec-13,76.72,77.97,76.72,77.5,74704920
18-Dec-13,76.15,76.63,76,76.03,59176009
17-Dec-13,76.4,77.09,76.03,76.03,68375989
16-Dec-13,75.12,76.7,75.07,76.63,86989405
13-Dec-13,75.89,76.58,75.1,75.39,62396131
12-Dec-13,77.02,77.19,75.5,75.62,115197006
11-Dec-13,77.02,78.13,76.86,77.38,85432717
10-Dec-13,78.35,79.12,77.92,78.16,68934078
9-Dec-13,78.49,78.9,77.9,78.2,54971712
6-Dec-13,77.29,78.62,77.06,78.24,71097873
5-Dec-13,76.5,77.67,76.24,77.19,90475638
4-Dec-13,77.82,77.96,76.76,76.76,72894721
3-Dec-13,78.84,79.14,77.91,78,101037231
2-Dec-13,77.61,78.99,77.43,78.58,83282266
29-Nov-13,77.13,78.07,76.59,77.4,92343481
28-Nov-13,77.49,78.34,76.26,76.87,107986492
27-Nov-13,75.26,77.35,75.05,77.27,126409443
26-Nov-13,75.25,76.2,75.12,75.21,254912792
25-Nov-13,75,75.64,74.88,75.4,51515759
22-Nov-13,75.6,75.89,74.57,74.62,69068254
21-Nov-13,74.82,75.71,74.64,75.46,60079603
20-Nov-13,74.98,75.27,74.4,75.02,86923582
19-Nov-13,75.5,75.7,74.9,75.08,61605013
18-Nov-13,75.57,76.65,75.4,76.17,56056994
15-Nov-13,75.93,76.59,75.2,75.38,65880851
14-Nov-13,76,76.12,75.21,75.7,64466530
13-Nov-13,75.95,75.95,74.49,74.99,94992770
12-Nov-13,76.9,76.91,75.83,76.15,58105089
11-Nov-13,75.57,76.91,75.57,76.77,71915273
8-Nov-13,73.37,75.2,73.19,75.16,101156904
7-Nov-13,74.94,74.99,73.65,73.87,107302242
6-Nov-13,75.06,75.8,74.42,74.62,93621942
5-Nov-13,77.32,77.32,74.43,75.16,117360564
4-Nov-13,77.83,77.99,76.74,77.04,43969304
1-Nov-13,77.69,77.97,76.44,77.72,100869577
31-Oct-13,77.87,78.38,77.25,77.53,84001153
30-Oct-13,79.3,79.3,77.3,77.67,108375200
29-Oct-13,77,78.63,76.49,78.01,197967637
28-Oct-13,81.18,81.5,79.14,79.62,110871491
25-Oct-13,80.59,80.87,79.9,80.37,102034087
24-Oct-13,78.37,80.12,78.22,80.12,118358160
23-Oct-13,78.12,0,77.55,77.91,104422835
22-Oct-13,76.9,78.12,76.76,78.12,81172916
21-Oct-13,77,77,76,76.9,59185200
18-Oct-13,77.22,77.8,76.28,76.5,84920604
17-Oct-13,76.05,76.79,75.51,76.79,63593357
16-Oct-13,76.42,76.95,75.84,76.43,73198700
15-Oct-13,76.08,76.9,76.08,76.55,80650644
14-Oct-13,75.47,75.66,74.83,75.66,51227096
11-Oct-13,75.41,76.24,74.99,76.02,90492317
10-Oct-13,73.28,75.18,72.8,74.92,79412260
9-Oct-13,72.2,73.82,72,72.92,86577355
8-Oct-13,74.3,74.32,72.52,73.73,120922596
7-Oct-13,74.69,74.72,73.12,74.33,94178055
4-Oct-13,74.93,75.32,74.48,75.03,81711569
3-Oct-13,74.3,75.18,74.15,75,80626582
2-Oct-13,74.73,74.98,73.68,74.46,73361025
1-Oct-13,73.73,74.75,73.5,74.64,68699693
30-Sep-13,73.2,73.94,73.16,73.58,95066486
27-Sep-13,75.19,75.19,73.9,74.23,60421254
26-Sep-13,75.71,75.71,74.71,75,67296579
25-Sep-13,74.11,75.13,73.78,75.12,75790918
24-Sep-13,74.08,74.97,73,74.21,120840944
20-Sep-13,76.19,76.65,75.39,76.25,631452974
19-Sep-13,77.12,77.25,76.4,76.6,125323662
18-Sep-13,75.12,76.45,74.68,76.25,195174723
17-Sep-13,76.05,76.5,74.51,74.65,536563173
16-Sep-13,77.7,77.8,76.26,77.36,96218166
13-Sep-13,75.68,76.61,75.01,76.61,71678104
12-Sep-13,76.1,76.4,75.14,75.76,103879961
11-Sep-13,78.78,78.78,75.7,75.99,126922223
10-Sep-13,77.17,78.71,77.1,78,85012745
9-Sep-13,75.73,76.79,75.03,76.78,93758966
6-Sep-13,74.76,75.9,74.18,75.41,85708031
5-Sep-13,73.3,75.12,73.26,74.72,109341694
4-Sep-13,72.89,73.1,71.98,72.63,81859806
3-Sep-13,73.73,73.95,72.24,72.68,71045384
2-Sep-13,73.12,73.76,73.08,73.32,73892908
30-Aug-13,73.99,74.75,72.54,72.55,110668833
29-Aug-13,74.35,74.5,73.4,73.84,59977844
28-Aug-13,72.09,74.16,71.61,73.89,110620929
27-Aug-13,74.59,74.78,72.55,72.63,116525420
23-Aug-13,74.71,75.8,73.8,74.79,79643308
22-Aug-13,74.02,75.09,73.94,74.64,87195891
21-Aug-13,73.78,74.68,73.52,73.86,102799809
20-Aug-13,74.34,74.5,72.76,73.8,132274611
19-Aug-13,76.36,76.73,74.67,75,71995965
16-Aug-13,75.02,76.4,74.28,76.4,104533431
15-Aug-13,77.06,77.24,74.7,75.05,136452201
14-Aug-13,75.7,77.21,75.7,77.14,120570306
13-Aug-13,75.55,75.92,74.93,75.78,114652083
12-Aug-13,75.17,75.9,75.17,75.49,91079375
9-Aug-13,74.68,75.68,74.3,75.11,142344512
8-Aug-13,73.47,74.26,73.42,74.02,76457111
7-Aug-13,73.8,74.88,73.37,73.47,122045828
6-Aug-13,75.69,76.26,73.64,74.26,150371202
5-Aug-13,74.5,77.19,74.48,75.69,174494088
2-Aug-13,74.24,74.93,72.41,73.73,149215840
1-Aug-13,71.94,74.92,71.26,73.51,323342345
31-Jul-13,67.31,68.94,66.51,68.5,112200180
30-Jul-13,68.6,68.64,66.9,67.65,145140720
29-Jul-13,68.51,68.96,67.94,68.7,58577599
26-Jul-13,69.01,69.2,68,68.37,61309174
25-Jul-13,69.28,69.34,68.27,68.78,64465435
24-Jul-13,68.05,69.2,68.05,69.14,93642547
23-Jul-13,69.56,69.8,68.11,68.11,99899354
22-Jul-13,69.28,69.9,68.99,69.21,78042633
19-Jul-13,69.71,69.99,68.76,69.25,146081440
18-Jul-13,69.62,70.51,69.37,70.03,103151067
17-Jul-13,69.24,70.12,68.65,70,146450461
16-Jul-13,69.63,69.82,68.75,68.85,129532070
15-Jul-13,68,69.53,67.98,69.44,91501915
12-Jul-13,66.57,67.88,66.38,67.73,114884777
11-Jul-13,66.99,67.17,65.77,66.25,103875183
10-Jul-13,66.28,67.24,65.3,66.1,105887277
9-Jul-13,67.6,68.46,66.19,66.35,139845885
8-Jul-13,65.6,67.45,65.6,67.1,134569986
5-Jul-13,66.04,66.52,64.63,64.63,119268596
4-Jul-13,64.24,66.05,63.08,65.86,149562954
3-Jul-13,62.18,63.47,61.68,63.38,95844578
2-Jul-13,64.56,64.94,62.82,62.95,100824626
1-Jul-13,63.85,64.68,62.64,64.03,104735518
28-Jun-13,63,64.28,62.58,63.16,172160936
27-Jun-13,62.61,63.52,62.05,62.86,106428317
26-Jun-13,61.42,62.6,61.07,62.48,81493179
25-Jun-13,61.5,61.63,60.38,61.24,90263937
24-Jun-13,60.84,61.73,59.76,60.4,91507383
21-Jun-13,61.93,62.67,60.98,61,224988988
20-Jun-13,61,62.41,60.57,62.12,129097181
19-Jun-13,62.25,62.46,61.26,61.76,92031700
18-Jun-13,61.07,62.97,61.01,62.18,71323680
17-Jun-13,61.48,61.95,60.84,61.3,68164057
14-Jun-13,61.73,62.97,61.23,61.3,137583202
13-Jun-13,59.41,61.62,58.74,61.32,86966500
12-Jun-13,61.69,61.8,60.01,60.37,73038476
11-Jun-13,61.53,61.78,59.96,61.19,103040611
10-Jun-13,62.14,62.7,61.29,61.56,80774375
7-Jun-13,60.96,62.54,59.92,62.32,109032852
6-Jun-13,61.8,62.25,60.57,60.86,86481493
5-Jun-13,62.31,62.83,61.48,62.01,93191670
4-Jun-13,62.17,62.62,61.89,62.56,60112405
3-Jun-13,62.76,63.02,61.42,61.62,87205730
31-May-13,62.48,62.62,61.1,62.11,265209626
30-May-13,60.75,62.26,60.5,61.8,74387285
29-May-13,61,61.39,60.37,60.64,63524211
28-May-13,60.6,61.63,60.11,61.32,92517325
24-May-13,61.2,61.66,59.5,60.08,78572212
