Date,Open,High,Low,Close,Volume
27-May-14,892,919.5,892,917,4034584
23-May-14,889.5,890,877,882,2492788
22-May-14,870,891,870,889.5,3811960
21-May-14,844.5,868.78,844.06,861,6762905
20-May-14,872,876,842.5,845,5345530
19-May-14,864.5,874,855,868,3733749
16-May-14,866,870.5,838,860.5,5810203
15-May-14,891.5,892.5,860.15,866,4349340
14-May-14,907.5,907.5,888.5,890.5,2677209
13-May-14,920,922.5,900.5,906.5,2815319
12-May-14,886.5,916.5,886.5,909.5,3561318
9-May-14,895,895.5,878.5,886,3288584
8-May-14,872.5,903.93,871.5,901.5,4317216
7-May-14,881.5,886.5,869,871.5,4090259
6-May-14,887,903,885,887,5501102
2-May-14,877,889,876,886,4407018
1-May-14,890.5,899.88,876,886,2799409
30-Apr-14,897.5,906.94,880.5,891.5,5173747
29-Apr-14,915,924.5,903,909,5393664
28-Apr-14,945,954.5,912,915,4221182
25-Apr-14,955,966.4,942,945.5,4220542
24-Apr-14,960,970,949.5,960,4777307
23-Apr-14,955.5,974,942.5,956,4277791
22-Apr-14,984,992,978,982.9,3564267
17-Apr-14,940,980,937.5,976.5,4416173
16-Apr-14,940,943.5,924.5,932,2590246
15-Apr-14,958.5,958.5,927.5,930,3954405
14-Apr-14,949.5,955,933,954.5,3304028
11-Apr-14,981,982.48,949.36,958.5,5466695
10-Apr-14,1037,1037.4,1000,1004,2576914
9-Apr-14,1002,1029,989.5,1028.95,3654155
8-Apr-14,980,995.21,960.5,984.4,6317788
7-Apr-14,976.5,977,965.5,972.5,3293258
4-Apr-14,1020,1023.52,994,996,3655132
3-Apr-14,1029,1040.16,1023,1026.5,2256635
2-Apr-14,1053,1054,1028,1030.9,3835480
1-Apr-14,1018,1048,1009.74,1044.02,4433616
31-Mar-14,984.5,1006,984.5,997.95,3146849
28-Mar-14,977.5,990,965,977.5,3630557
27-Mar-14,976,980.5,965,971.95,2534189
26-Mar-14,1000,1000,977.5,980.9,3841258
25-Mar-14,974.5,993,973.5,979.5,3651160
24-Mar-14,991,994,972.5,978.5,3681014
21-Mar-14,988,999.5,985,994.45,4920148
20-Mar-14,969,991.5,957,990.5,3603581
19-Mar-14,983.5,986.5,975,976.5,2947173
18-Mar-14,963,985,959,982.5,2715242
17-Mar-14,953.5,969.5,951,964,3285214
14-Mar-14,960,964,950,951.5,3637819
13-Mar-14,984,986,966,966,3429399
