Date,Open,High,Low,Close,Volume
27-May-14,475.5,477.1,472,476.5,979724
23-May-14,472.2,474.6,469.8,471.49,624333
22-May-14,470.9,472.2,467.5,471,1305702
21-May-14,465.4,471.2,464.2,470.18,1308587
20-May-14,471,471.1,463.5,465.3,979538
19-May-14,462.9,472.1,461.8,469.1,1167461
16-May-14,471.4,473.1,459.3,462.4,2030263
15-May-14,483,483.3,468.9,470.7,1058186
14-May-14,482,483.9,480.7,482.4,940913
13-May-14,482.8,486,480.31,482.5,1367537
12-May-14,480.5,480.8,475.4,477.33,1179579
9-May-14,474.1,479,471.8,479,820205
8-May-14,483.5,483.5,474.5,475.3,1121669
7-May-14,480.9,491.6,476.4,482.7,2274803
6-May-14,478.2,481.14,474.2,481,1657123
2-May-14,476,478.7,472.9,476.9,879830
1-May-14,477.2,478.8,471.5,476.7,389768
30-Apr-14,470.5,477.6,467.7,476.7,1160431
29-Apr-14,471,474.1,469.98,472,1376085
28-Apr-14,476.8,476.8,468.3,470.1,960436
25-Apr-14,471.2,481.5,470.5,475.6,1178541
24-Apr-14,475.9,476.9,469.7,472.9,1224953
23-Apr-14,478.2,479.3,473.6,473.9,1054359
22-Apr-14,473,478.1,471.1,477,1216074
17-Apr-14,466.9,474.2,464.3,473,2133504
16-Apr-14,467.1,469,462.5,466.2,1427044
15-Apr-14,465.2,468.2,462,463.7,1273453
14-Apr-14,467.9,469.2,463.3,466.3,1234500
11-Apr-14,472,472.8,467.7,469.6,993606
10-Apr-14,478.3,480.3,475.9,476,1421978
9-Apr-14,472,477.8,471.5,475.39,1378270
8-Apr-14,470.3,472.5,463,466.6,1212889
7-Apr-14,475.4,478.62,470.6,471,1235635
4-Apr-14,480.2,482.1,477.7,481.13,1271775
3-Apr-14,481.2,482.9,478.1,479.2,743943
2-Apr-14,483.2,484.5,477,480.1,1213549
1-Apr-14,479.8,482.9,479,481.29,1121994
31-Mar-14,479.3,482.2,478,479.9,1692302
28-Mar-14,479.6,482.5,475.1,477.6,1248869
27-Mar-14,479.4,480.5,476.5,479.5,1812164
26-Mar-14,472.2,480.5,471.4,480.5,2140918
25-Mar-14,467.6,471.1,467.6,470.6,1986039
24-Mar-14,470.3,470.44,463.1,468.33,2091708
21-Mar-14,478.3,478.3,470.5,471.2,2869151
20-Mar-14,470.6,472.4,466.4,469.5,3123639
19-Mar-14,463.5,472.1,462.1,471.8,2737970
18-Mar-14,459.5,466,457,465.3,2088432
17-Mar-14,451.2,460.6,450.99,457.75,2788174
